Description;Category
PAY -TIA SU CREP-23/06;RESTAURANTES
* UBER TRIP HELP. CO UBER.;TRANSPORTE
COLET TRANSPO CT -. NSP E;TRANSPORTE
- PAY PANIFICADOR 31 - 10 /;MERCADO
- REI PAY DA CALA - / 18 05;OUTROS
QRS PIX SANTA17 BANCO / 11;PAGAMENTO CARTÃO
KF HONESTY;MERCADO
PASTA RICCA CT -;RESTAURANTES
PAY RAABELANDIA -;LAZER E ENTRETENIMENTO
BAS REMUNER SALARIO POUP;POUPANÇA E INVESTIMENTOS
* UBER UBER TRIP *;TRANSPORTE
PASTA - RICCA CT;RESTAURANTES
PAY KF - HONESTY;MERCADO
AMAZON PRIME ALUGUEL;LAZER E ENTRETENIMENTO
TED 745.0001.PAYPAL D B;RECEITA
SEM PAR * SEM PARAR *;TRANSPORTE
PIX TRANSF TATIELL17/10;OUTROS
- PAY KF - HONESTY 01 / 11;MERCADO
ESTACIONAME;TRANSPORTE
DISTRIBUICA INT COPEL 00;MORADIA
PAY -HONESTY KF -14/11;MERCADO
- PAY TAB KORINGA;RESTAURANTES
TRANSF PIX MARCIO 06 05 /;TRANSFERÊNCIA BANCÁRIA
AMAZONPRIMEBR;LAZER E ENTRETENIMENTO
- PAY - NADOLNI / 14 05;OUTROS
PAY - - PLANSHOPPIN / 12 02;OUTROS
E ENTRETEN TURISMO. CURITIBA;LAZER E ENTRETENIMENTO
RSHOP - COMERCI EM2 - 05 18 /;MERCADO
MOVEL DA CLARO 08806989;TELECOMUNICAÇÕES
FINANC VEIC PAGTO 15 / 24;TRANSPORTE
7076 B SHOP - CURT CT;COMPRAS DIVERSAS
- BALAROTI CT;MORADIA
KF HONESTY;MERCADO
PAY -LN CAFES LT-27/10;RESTAURANTES
POUPANÇA JUROS SALÁRIO;POUPANÇA E INVESTIMENTOS
- PAY PAG * CARMELA 28 - 09 /;RESTAURANTES
IFDZORA IFOOD FAST;RESTAURANTES
LUIZ ELVIS B - CT;OUTROS
FOLHA MENSAL PAGAMENTO;SALÁRIO
AFFORD PALLA-CT;COMPRAS DIVERSAS
RSHOP-AUTO POSTO;TRANSPORTE
GYMPASSBR GYMPASS;SAÚDE
HONESTY PAY - KF - / 17 11;MERCADO
UBER UBER * TRIP *;TRANSPORTE
JUROS SALARIO POUPANCA;POUPANÇA E INVESTIMENTOS
- PAY - YANG / 11 11;RESTAURANTES
FREDDO CT -;RESTAURANTES
JUROS SALARIO POUPANCA;POUPANÇA E INVESTIMENTOS
REMUNER BAS POUP SALARIO;POUPANÇA E INVESTIMENTOS
STARBUCKS 21 - BA CT TIO;RESTAURANTES
- RSHOP MILLAN PIZZ - 08 / 03;RESTAURANTES
M CIDADAO DO - CT;RESTAURANTES
MARKETP PIX;TRANSFERÊNCIA BANCÁRIA
BMB PARK -CT;TRANSPORTE
- PAY DEOLA DONA - / 30 11;RESTAURANTES
SEM PARAR * ABASTECE;TRANSPORTE
PAY -PANIFICADOR;MERCADO
POR MUFFATO;MERCADO
AMAZON AWS SERVICOS BRA;COMPRAS DIVERSAS
- PAY - YANG / 27 10;RESTAURANTES
- PAY IRMAOS MADA 14 - 12 /;RESTAURANTES
TRANSF PIX TATIANE;TRANSFERÊNCIA BANCÁRIA
* UBER UBER TRIP *;TRANSPORTE
- PAY IFD * - KINDZIE 11 03 /;RESTAURANTES
PIX QRS BUS SERVICO26/11;TRANSPORTE
- PAY 3102DROGASI;SAÚDE
PAY RIMINI - INDU 25 - 06 /;RESTAURANTES
UBER TRIP *;TRANSPORTE
PAY INDU - RIMINI - / 21 10;OUTROS
* UBER UBER TRIP *;TRANSPORTE
POP SACOLAO;MERCADO
- RSCSS VIL ARMAZEM - / 23 06;RESTAURANTES
NETFLIX.COM;LAZER E ENTRETENIMENTO
- RSCSS BATOVI - / 01 01;COMPRAS DIVERSAS
PIX ISABELL23 TRANSF 06 /;MESADA
D TED INTD7453568;OUTROS
RESTAURANTES;RESTAURANTES
QRS DEMERGE09 PIX / 03;OUTROS
- PAY GELA FREDDO - 04 03 /;RESTAURANTES
- RSHOP POP SACOLAO - / 31 05;MERCADO
RSHOP SACOLAO POP -;MERCADO
- FREDDO CT;RESTAURANTES
TURISMO ENTRETEN E CURITIBA.;LAZER E ENTRETENIMENTO
PIX THIAGO 24 TRANSF / 11;OUTROS
- RSHOP POP SACOLAO;MERCADO
- PAY KALUNGA - CUR / 30 04;COMPRAS DIVERSAS
SHOP FAST SA / 07 12;COMPRAS DIVERSAS
TRANSFERÊNCIA R KAMOI;SAÚDE
QRS PIX S CLARO. . A;TELECOMUNICAÇÕES
FARMACIA E D-CT RIA NIS;SAÚDE
DA CLARO MOVEL 08806989;TELECOMUNICAÇÕES
- CIDADAO PAY DO - 27 06 /;RESTAURANTES
* UBER UBER TRIP *;TRANSPORTE
PAY UN - FARMACIA - / 28 09;SAÚDE
- PAY PAGJORGELU;OUTROS
RSCSS-HONESTY KF -29/04;MERCADO
PAY -REGINA FENA-02/12;MERCADO
PAY -NANDRE ALIM-27/11;OUTROS
- RSCSS KF HONESTY;MERCADO
MOANA CT ICE -;RESTAURANTES
SAQUES EM DINHEIRO;SAQUES
DA CLARO MOVEL 08806989;TELECOMUNICAÇÕES
* PPRO MICROSOFT;LAZER E ENTRETENIMENTO
PAGAMENTO FOLHA MENSAL;RECEITA
- PAY MP * RAFAVEN 27 - 11 /;OUTROS
- PAY PANIFICADOR;MERCADO
SAQUES DINHEIRO EM;SAQUES
- PAY KAIMA POSTO;TRANSPORTE
PAY - - DONA DEOLA 28 11 /;RESTAURANTES
GATE GREEN;RESTAURANTES
PAY -LUIZ ELVIS -29/10;OUTROS
PAY -CUZ CUZ DA -11/12;RESTAURANTES
- PAY LR - COMERCIO 22 12 /;ROUPAS E ACESSÓRIOS
AMAZON ALUGUEL PRIME;LAZER E ENTRETENIMENTO
- TRANSPO COLET CT NSP E.;TRANSPORTE
TED 745 0001. D. PAYPAL B;RECEITA
* PAG - ASMSERVI CT;OUTROS
- PAY IN DRIVE BU;RESTAURANTES
- PAY UN FARMACIA - 24 02 /;SAÚDE
QRS PIX PIX MARKETP;TRANSFERÊNCIA BANCÁRIA
- RSHOP POP SACOLAO;MERCADO
PAY -SACOLAO POP-25/10;MERCADO
PIX QRS SEM PARAR I;TRANSPORTE
* UBER * UBER TRIP;TRANSPORTE
- PAY COMERCIO LR - 22 12 /;OUTROS
INDUS RIMINI - COMER CT;OUTROS
PAY - - 26 RESTAURANTE 05 /;RESTAURANTES
CURITIBA HOBBY;LAZER E ENTRETENIMENTO
RSHOP-1405 - CEI -24/06;OUTROS
- RSHOP TURIS FARES;LAZER E ENTRETENIMENTO
CENT GLOBAL;OUTROS
UBER *UBER *TRIP;TRANSPORTE
- PAY - PANIFICADOR 28 02 /;MERCADO
PAY - - MERCADOTECA 05 05 /;RESTAURANTES
- PAY PAG JORGELU *;OUTROS
* PG PRIMA LA PRI CAS;COMPRAS DIVERSAS
PG TON * - ASSA CT;OUTROS
* ESCOLASEBDOM BOSCO;EDUCAÇÃO
* UBER UBER TRIP *;TRANSPORTE
PAY -MERCATELLI -24/06;OUTROS
GARAGEM PAY BAT - - 30 / 09;TRANSPORTE
- RSCSS 218 STAR PA;LAZER E ENTRETENIMENTO
- RSHOP SACOLAO POP - / 03 08;MERCADO
- PAY M DE R OLIV - 28 02 /;RESTAURANTES
- PAY 01 PANIFICADOR - / 12;MERCADO
DA ULTRAGAZ DEMAI 21900;MORADIA
PAY - HONESTY 14 KF - 11 /;MERCADO
PIZZA MILLAN CT -;RESTAURANTES
TRANSF ISABELL01 PIX / 12;MESADA
- PAY HONESTY - KF 26 10 /;MERCADO
QRS PIX BY PAY / STEA07 03;LAZER E ENTRETENIMENTO
DRIVE BK THRU;RESTAURANTES
POSTO N 1;TRANSPORTE
TRANSPO COLET - NSP CT. E;TRANSPORTE
- PAY ESTACI PUHL - 14 12 /;TRANSPORTE
PAY SANTO - ANTON 31 - 12 /;COMPRAS DIVERSAS
BURIT DECIO;OUTROS
RSCSS PIB - ME CAFE;RESTAURANTES
TRANSF PIX ISABELL;MESADA
- PAY PLK FILIAL;COMPRAS DIVERSAS
PAY - FESTVAL 04 BAT - 10 /;MERCADO
TERRA PAY - MAR E - 04 / 11;RESTAURANTES
PIX BUS SERVICO26 QRS / 11;TRANSPORTE
PAY PRIMEIRA - IG - 03 13 /;DOAÇÕES OU CONTRIBUIÇÕES
PAPELARIA MEGA BAZAR CT;EDUCAÇÃO
AGUA DAJU VE CT -;ROUPAS E ACESSÓRIOS
ALIMENTAÇÃO CURITIBA.;RESTAURANTES
- PAY B G STRAPAS;COMPRAS DIVERSAS
PANIFICADOR;MERCADO
TRANSPO COLET - CT NSP E.;TRANSPORTE
PG UNIVERSO * 07 NARR 12 /;EDUCAÇÃO
PAY IFDFREDDO - 26 - 02 /;RESTAURANTES
BELS COM - CT ART TAS;COMPRAS DIVERSAS
PAG ATENAFENIX *;OUTROS
PAGA TECIDOS CT -;ROUPAS E ACESSÓRIOS
- PAY TAB KORINGA;RESTAURANTES
PAY R - M DE OLIV - / 28 02;RESTAURANTES
- PAY SUPER ITALO 14 - / 12;MERCADO
- RSHOP - 1405 CEI - / 24 06;OUTROS
- FAMILIA PAY MAC - 10 06 /;RESTAURANTES
- PAY HONESTY - 12 KF / 11;MERCADO
BAS REMUNER SALARIO POUP;POUPANÇA E INVESTIMENTOS
UBER UBER * * TRIP;TRANSPORTE
MC S DONALDS CT -;RESTAURANTES
CHIK - PRATA CT 02 02 /;COMPRAS DIVERSAS
PAY - O BAR CHOPP 13 - 12 /;RESTAURANTES
* MP MELIMAIS;LAZER E ENTRETENIMENTO
GUIL CARLOS;OUTROS
PARAR SEM ABASTECE *;TRANSPORTE
SUZIANE PAY - DE;OUTROS
PIX MARKETP;TRANSFERÊNCIA BANCÁRIA
SEM PARAR * ABASTECE;TRANSPORTE
PAY ANGUS ASSAD - - 23 12 /;RESTAURANTES
PAY -REGINA FENA-11/11;MERCADO
IFDWILERSON IFOOD;RESTAURANTES
BANCO MOBILEPAG TIT 237;MORADIA
PIX BUS QRS SERVICO26 11 /;TRANSPORTE
FARMACIA PAY - E;SAÚDE
PIX BENAIA TRANSF;OUTROS
PIX QRS SACOLAO POP26/04;MERCADO
PAY -UCI BRASIL;LAZER E ENTRETENIMENTO
PAG RSCSS - * RESTAUR;RESTAURANTES
RSCSS-BATOVI -01/01;COMPRAS DIVERSAS
FAST SHOP SA 06/12;COMPRAS DIVERSAS
- RESTAURANTE PAY - / 26 05;RESTAURANTES
INT PAG TIT BANCO 237;MORADIA
JUROS SALARIO POUPANCA;POUPANÇA E INVESTIMENTOS
PAY - DA TEMPO - FE 04 12 /;OUTROS
PAY - VISAO CURIT 18 - / 10;SAÚDE
- PAY DONA - DEOLA / 29 11;RESTAURANTES
COPEL INT 00 DISTRIBUICA;MORADIA
RSHOP - - HONESTY 23 KF / 02;MERCADO
- PAY HONESTY KF 17 - 11 /;MERCADO
- PAY - PANIFICADOR 10 03 /;MERCADO
FINANCEIRO PAGAMENTO VEÍCULO;TRANSPORTE
PAY -AERO CURITI-25/06;ROUPAS E ACESSÓRIOS
PAY - HONESTY KF - 23 12 /;RESTAURANTES
- PAY EXPR HIROTA 30 - / 11;MERCADO
PAG * - GAROTAFA CT N 03 02 /;ROUPAS E ACESSÓRIOS
- BALAROTI CT;MORADIA
PAY MENDONCA - FO - 12 11 /;RESTAURANTES
01 BAGAGGIO 02 /;COMPRAS DIVERSAS
- AERO PAY - CURITI 25 / 06;ROUPAS E ACESSÓRIOS
TRANSF PIX TATIANE;TRANSFERÊNCIA BANCÁRIA
FLEX CLARO;TELECOMUNICAÇÕES
PAY - FARM - PANVEL 08 12 /;SAÚDE
DOG MANIA;CUIDADOS COM O PET
- PAY KORINGA 31 TAB - / 12;RESTAURANTES
PAY - BAT - ESTACIO / 12 06;TRANSPORTE
PIX TRANSF MARCIO 11 30 /;OUTROS
PIX TRANSF THIAGO 12/06;TRANSFERÊNCIA BANCÁRIA
SAL MUSTANG;RESTAURANTES
UBER *. TRIP HELP UBER CO.;TRANSPORTE
PAY MP JUNIOR -;OUTROS
PG * MAND TON LTDA - CT;COMPRAS DIVERSAS
PIX QRS IMPULSO PAR;TRANSFERÊNCIA BANCÁRIA
ISABEL TRANSFERÊNCIA;MESADA
* UBER * UBER TRIP;TRANSPORTE
RSCSS BERLIN - - 12 11 /;OUTROS
PAY - SACOLAO POP - / 23 11;MERCADO
JUROS SALÁRIO POUPANÇA;POUPANÇA E INVESTIMENTOS
- RSCSS KF HONESTY;MERCADO
PAY LUIZ - - ELVIS / 22 10;OUTROS
RICCA CT PASTA -;RESTAURANTES
PIX QRS PARAR I SEM;TRANSPORTE
PAG TIT TIT ULO ITAU;OUTROS
RECANTO;RESTAURANTES
PPRO MICROSOFT *;LAZER E ENTRETENIMENTO
218 STAR - PAT CT ATEL;COMPRAS DIVERSAS
PAY - GATE GREEN 10 - 03 /;RESTAURANTES
PAY - HAMB - 10 GARAGE / 11;RESTAURANTES
CEDRO;OUTROS
PAY -PIZZA HUT P-18/11;RESTAURANTES
COLET TRANSPO - CT FUC -;TRANSPORTE
- PAY I IFDDRIVE - 26 02 /;TRANSPORTE
JUROS SALARIO POUPANCA;POUPANÇA E INVESTIMENTOS
PIX TRANSF ISABELL06 / 11;MESADA
RSCSS BATOVI -;RESTAURANTES
PAG GAROTAFA * CT - 03 N / 03;ROUPAS E ACESSÓRIOS
CEDRO;OUTROS
HONESTY RSCSS - KF;MERCADO
PO BK DRIVE - / 22 05;RESTAURANTES
DM * CRUNCHYROLL L;LAZER E ENTRETENIMENTO
RSCSS ATLAN - POSTO;TRANSPORTE
RSCSS BATOVI -;RESTAURANTES
DA MOVEL 08806989 CLARO;TELECOMUNICAÇÕES
COSMETIC LEO CT -;COMPRAS DIVERSAS
UBER *UBER *TRIP;TRANSPORTE
SPEDINI;RESTAURANTES
PAY DONA - - DEOLA 30 11 /;RESTAURANTES
* UBER UBER TRIP *;TRANSPORTE
VERDE HIPER;MERCADO
* UBER * UBER TRIP;TRANSPORTE
DAJU AGUA 02 VE - CT / 02;ROUPAS E ACESSÓRIOS
DA CLARO MOVEL 08806989;TELECOMUNICAÇÕES
- RESTAURANTES INA CT;RESTAURANTES
- PAY BAMBU COCO;RESTAURANTES
JUROS SALARIO POUPANCA;POUPANÇA E INVESTIMENTOS
RSHOP POP - SACOLAO;MERCADO
- RSCSS PIZZ MILLAN - / 16 06;RESTAURANTES
PAY - FE TEMPO DA - 04 12 /;OUTROS
POUPANÇA REMUNERAÇÃO SALÁRIO;POUPANÇA E INVESTIMENTOS
* PG TON PRIM CT NITIN -;OUTROS
- PAY E FARMACIA;SAÚDE
PAY -FREDDO GELA;RESTAURANTES
SUGAR DARK;RESTAURANTES
- PAG PAY * FAMILIA 01 - / 11;OUTROS
GREEN GATE;RESTAURANTES
REMUNER POUP SALARIO BAS;POUPANÇA E INVESTIMENTOS
CEI DINHEIRO 000001;RECEITA
IFDFRANGOS IFOOD C;RESTAURANTES
PANMONHAS SEM-CT TURA;RESTAURANTES
- PAY POP SACOLAO 11 - / 03;MERCADO
TRANSP COLET-CT RNSPE. E;TRANSPORTE
IFDDRIVE IFOOD IN;RESTAURANTES
COPEL INT 00 DISTRIBUICA;MORADIA
DA DEMAI 21900 ULTRAGAZ;MORADIA
- RSHOP 194 RAIA;COMPRAS DIVERSAS
- RSCSS PIZZ MILLAN;RESTAURANTES
- PAY 11 YANG - / 11;RESTAURANTES
PAY SACOLAO POP - - 19 11 /;MERCADO
RESTAURANTES;RESTAURANTES
PAY RAABELANDIA -;LAZER E ENTRETENIMENTO
* UBER * UBER TRIP;TRANSPORTE
PIX QRS KAMOI RINAL;OUTROS
IFDDRIVE IFOOD IN;RESTAURANTES
PET SHOP CLA - CT LIVEIR;CUIDADOS COM O PET
GYMPASSBR GYMPASS;SAÚDE
PAY -MUFFATO POR-02/11;MERCADO
* PG NARR UNIVERSO / 10 12;EDUCAÇÃO
- RSCSS ATLAN POSTO;TRANSPORTE
POUPANCA JUROS SALARIO;RECEITA
FIGURAS ELET - CT IDRA;COMPRAS DIVERSAS
- PAY - VARIEDADES / 02 12;OUTROS
RSCSS-DAISO BRASI;COMPRAS DIVERSAS
FINANC PAGTO 24 VEIC / 24;TRANSPORTE
NETFLIX COM.;LAZER E ENTRETENIMENTO
IFDMACARRAO IFOOD;RESTAURANTES
TIT BANCO MOBILEPAG 237;OUTROS
JUROS SALARIO POUPANCA;POUPANÇA E INVESTIMENTOS
PAY TELECELL - 12 - 10 /;COMPRAS DIVERSAS
PAY - P PIZZA HUT 18 - / 11;RESTAURANTES
RSCSS - SHOP CL PET;CUIDADOS COM O PET
INT UNICLASS VS;PAGAMENTO CARTÃO
PAY REI - CALA DA - / 18 05;OUTROS
PAY PANIFICADOR -;MERCADO
- ESTAPAR CCI CT;TRANSPORTE
PET CLA SHOP - LIVEIR CT;CUIDADOS COM O PET
- RSCSS VILLA CHIC - 12 11 /;OUTROS
BALAROTI CT -;MORADIA
RSCSS-MILLAN PIZZ;RESTAURANTES
AL CIRURGICA - A CT;SAÚDE
- PAY FENA REGINA - 02 12 /;MERCADO
SHOP PET;CUIDADOS COM O PET
GYMPASSBR GYMPASS;SAÚDE
- PAY CO FORNERIA;RESTAURANTES
PAY -HIROTA EXPR-30/11;MERCADO
REMUNER BAS POUP SALARIO;POUPANÇA E INVESTIMENTOS
VINDI ESPA * - AS03 CT 03 /;LAZER E ENTRETENIMENTO
PANIFICADOR;MERCADO
FOLHA MENSAL PAGAMENTO;OUTROS
IFOOD FAST IFDZORA;RESTAURANTES
- RSCSS 290 POSTO;TRANSPORTE
PAY FAST - S SHOP - 04 03 /;COMPRAS DIVERSAS
COPEL INT DISTRIBUICA;MORADIA
PAY -RESTAURANTES-13/12;RESTAURANTES
PAY -SACOLAO POP-18/12;MERCADO
RESTAURANTES;RESTAURANTES
CHIK PRATA CT 01 - / 02;COMPRAS DIVERSAS
MARKETP PIX;TRANSFERÊNCIA BANCÁRIA
INDU RIMINI;COMPRAS DIVERSAS
PAY - * HNA OBOTICA 02 - 12 /;COMPRAS DIVERSAS
POUPANÇA JUROS;POUPANÇA E INVESTIMENTOS
PAY - SACOLAO 18 POP - 12 /;MERCADO
MILLAN PIZZ;RESTAURANTES
IFDDRIVE IFOOD IN;RESTAURANTES
- FARES RSHOP TURIS - 02 01 /;OUTROS
- RSHOP AREATEC;COMPRAS DIVERSAS
RSCSS - MC DONALDS;RESTAURANTES
- PAY ANTON SANTO;LAZER E ENTRETENIMENTO
COPEL INT DISTRIBUICA;MORADIA
- PAY E MUCHINSKI 15 - / 12;OUTROS
PAY - MUSTANG - SAL / 05 11;RESTAURANTES
TON PG * ASSA - CT;OUTROS
PIX TRANSF 12 THIAGO 06 /;TRANSFERÊNCIA BANCÁRIA
SHOP FAST SA 04 12 /;COMPRAS DIVERSAS
AGUA DAJU - VE CT;ROUPAS E ACESSÓRIOS
STAR 218 - CT PAT ATEL;COMPRAS DIVERSAS
POPULAR SACOLAO;MERCADO
MAFIA LA;RESTAURANTES
SCHMID PORCELANAS / 01 03;COMPRAS DIVERSAS
TESOURO PIX QRS NAC14 / 12;POUPANÇA E INVESTIMENTOS
IFDFRANGOS IFOOD C;RESTAURANTES
FELIPE PIX TRANSF 20 / 06;TRANSFERÊNCIA BANCÁRIA
IFDJURASSIC IFOOD;RESTAURANTES
RSCSS PIB - ME CAFE;RESTAURANTES
PIX TATIANE TRANSF;TRANSFERÊNCIA BANCÁRIA
SEM PARAR * ABASTECE;TRANSPORTE
FARMACIA PAY - NI - 06 05 /;SAÚDE
RSHOP - CIA BEAL DE;COMPRAS DIVERSAS
REMUNER BAS POUP SALARIO;POUPANÇA E INVESTIMENTOS
MICROSOFT;LAZER E ENTRETENIMENTO
PAY PANIFICADOR - - 10 31 /;MERCADO
K2 COMERCIO - DU02 CT / 02;COMPRAS DIVERSAS
* MP MELIMAIS;LAZER E ENTRETENIMENTO
GUIL CARLOS;OUTROS
- PAY KAIMA POSTO - 18 01 /;TRANSPORTE
- PAY KAIMA POSTO;TRANSPORTE
CEDRO;OUTROS
PAY - A - CLOUDPARK 29 05 /;TRANSPORTE
- RODA PAY DAGUA;LAZER E ENTRETENIMENTO
PIX QRS PAY BY STEA07/03;LAZER E ENTRETENIMENTO
ASMSERV;OUTROS
* MUVUKASHOP02 SHOPEE / 02;COMPRAS DIVERSAS
CHINA - CASA CT;COMPRAS DIVERSAS
PAY - CUR - KALUNGA 10 10 /;EDUCAÇÃO
POUPANCA JUROS SALARIO;RECEITA
RSHOP - TROPICAL BA;COMPRAS DIVERSAS
- RSCSS VILLA - CHIC 11 12 /;OUTROS
RSHOP-PANVEL FARM;SAÚDE
PRIMEIRA IGR-CT BATIST;OUTROS
- PAY FESTVAL BAT - 10 04 /;MERCADO
IFDCHINA IFOOD IN;RESTAURANTES
745 TED. . 0001 PAYPAL B D;RECEITA
FARCIA NISSE-CT;SAÚDE
* UBER * UBER TRIP;TRANSPORTE
RAIA RSHOP - 194;COMPRAS DIVERSAS
- PAY PANIFICADOR;MERCADO
. NETFLIX COM;LAZER E ENTRETENIMENTO
PAY -DONA DEOLA -13/12;RESTAURANTES
PAY - SHOP B PARK - 15 10 /;TRANSPORTE
FOLHA MENSAL PAGAMENTO;SALÁRIO
QRS FAST PIX S27 SHOP / 10;COMPRAS DIVERSAS
SHOP PET;CUIDADOS COM O PET
PAGAMENTO * CDB 03 02 /;OUTROS
BAGAGGIO;COMPRAS DIVERSAS
PAY - M R OLIV DE 28 - 02 /;RESTAURANTES
PAY INDU - RIMINI 24 - / 02;OUTROS
- RSHOP TURIS FARES;LAZER E ENTRETENIMENTO
PARK BMB CT -;TRANSPORTE
PAY -GREEN GATE;RESTAURANTES
DM CRUNCHYROLL L *;LAZER E ENTRETENIMENTO
EM SAQUES DINHEIRO;SAQUES
BEER 100;RESTAURANTES
CCI ESTAPAR CT -;TRANSPORTE
* IFOOD CLUBE IFOOD *;RESTAURANTES
KF HONESTY;MERCADO
TIT MOBILEPAG 3535411820;OUTROS
- PAY - PANIFICADOR 28 04 /;MERCADO
COLET - TRANSPO NSP CT. E;TRANSPORTE
PAY - R M DE OLIV 28 - 02 /;RESTAURANTES
SHOP PET CLA - LIVEIR CT;CUIDADOS COM O PET
POR MUFFATO;MERCADO
UBER UBER * TRIP *;TRANSPORTE
GYMPASSBR GYMPASS;SAÚDE
TRANSP COLET-CT RNSPE. E;TRANSPORTE
BURACO P DO;LAZER E ENTRETENIMENTO
K2 COMERCIO - / CT 02 DU01;COMPRAS DIVERSAS
- RSCSS KF HONESTY;MERCADO
BOLOS BRUNO CT -;RESTAURANTES
QRS PIX S VIA A / 17 10;OUTROS
- PAY * HNA - OBOTICA 02 / 12;COMPRAS DIVERSAS
IFDMCDONALDS IFOOD;RESTAURANTES
ASMSERV;OUTROS
- PAY PO RAIA 600 - 29 / 11;SAÚDE
QRS PIX BANCO / SANTA16 10;PAGAMENTO CARTÃO
PAY PAGJORGELU -;OUTROS
RESTAURANTES;RESTAURANTES
UBER * TRIP. UBER HELP CO.;TRANSPORTE
FARMACIA - DO PING CT;SAÚDE
PAY SACOLAO - - POP 25 10 /;MERCADO
PAY -PANVEL FARM-08/12;SAÚDE
TRANSF PIX DANILO;TRANSFERÊNCIA BANCÁRIA
DA CLARO MOVEL 08806989;TELECOMUNICAÇÕES
GYMPASSBR GYMPASS;SAÚDE
- POSTO RSHOP MENGU 01 - / 01;TRANSPORTE
PAY MUCHINSKI - E - / 02 24;MERCADO
* MERCADOLIVRE SLOCSTORE;COMPRAS DIVERSAS
- PAY MUFFATO - 12 POR / 10;MERCADO
- PAY TRIPARK - EST 29 10 /;TRANSPORTE
E TURISMO ENTRETEN CURITIBA.;LAZER E ENTRETENIMENTO
SACOLAO TRANSFERÊNCIA POP;MERCADO
- PAY CUR KALUNGA - 10 10 /;EDUCAÇÃO
DRIVE PAY - IN - BU 01 / 12;RESTAURANTES
PIX QRS IMPULSO PAR;TRANSFERÊNCIA BANCÁRIA
PAG LOJASRENNER * 03 03 /;ROUPAS E ACESSÓRIOS
QRS PIX COPEL DISTR22 12 /;MORADIA
PIX THIAGO TRANSF / 06 05;TRANSFERÊNCIA BANCÁRIA
JUROS SALARIO POUPANCA;POUPANÇA E INVESTIMENTOS
PIX TRANSF TATIANE;OUTROS
PAG * MNAOANACLE - CT RCIAD;COMPRAS DIVERSAS
- PAY LUIZ - ELVIS / 14 06;OUTROS
CHINA CASA CT -;COMPRAS DIVERSAS
DA 08806989 CLARO MOVEL;TELECOMUNICAÇÕES
PAY PAGESKIMOS -;RESTAURANTES
PAY VELHO - MADAL - 03 11 /;RESTAURANTES
AGUA DAJU VE - 02 CT 02 /;ROUPAS E ACESSÓRIOS
* UBER UBER * TRIP;TRANSPORTE
DA CLARO MOVEL 08806989;TELECOMUNICAÇÕES
PIX TATIANE02 TRANSF 01 /;TRANSFERÊNCIA BANCÁRIA
- MERCATELLI PAY - 24 06 /;OUTROS
RSHOP CIA - DE BEAL;COMPRAS DIVERSAS
PAY - BAMBU COCO 01 - 01 /;RESTAURANTES
REPUBLICA;COMPRAS DIVERSAS
TRANSF PIX WESTERN;TRANSFERÊNCIA BANCÁRIA
COXINHA;RESTAURANTES
- PAY DEOLA DONA 30 - / 11;RESTAURANTES
PANIFICADOR;MERCADO
PIX QRS SEM PARAR I;TRANSPORTE
B LUIZ ELVIS - EZAM CT M;OUTROS
- PAY HONESTY KF - 23 / 12;RESTAURANTES
INDU RIMINI;COMPRAS DIVERSAS
STUDIO NMACH - CT;OUTROS
- LUIZ ELVIS PAY - 27 / 09;OUTROS
BK DRIVE - 22 PO 05 /;RESTAURANTES
TRANSF TATIANE10 PIX / 05;TRANSFERÊNCIA BANCÁRIA
PIX QRS BUS SERVICO26 / 11;TRANSPORTE
- RSHOP MILLAN PIZZ - 08 / 03;RESTAURANTES
MP MELIMAIS *;LAZER E ENTRETENIMENTO
SEM PARAR * ABASTECE;TRANSPORTE
ULTRAGAZ DA 21900 DEMAI;MORADIA
PIX DANILO TRANSF;TRANSFERÊNCIA BANCÁRIA
MP MPMELIMAIS;OUTROS
DEMAI DA ULTRAGAZ 21900;MORADIA
SHOP PET CLA - LIVEIR CT;CUIDADOS COM O PET
CLARO DA 08806989 MOVEL;TELECOMUNICAÇÕES
UNICLASS INT VS;PAGAMENTO CARTÃO
INT BANCO PAG TIT 237;MORADIA
POPU SACOLAO CT -;MERCADO
DA CLARO MOVEL 08806989;TELECOMUNICAÇÕES
PANIFICADOR;MERCADO
MOBILEPAG TIT BANCO 237;MORADIA
PAY - TEMPO DA - 04 FE 12 /;OUTROS
PAG PAY - * ASMSERV 12 - / 11;OUTROS
FOLHA MENSAL PAGAMENTO;SALÁRIO
DA TEMPO FE - AURANT CT;RESTAURANTES
NOVA PAY - ESTREL - / 15 11;RESTAURANTES
RESTAURANTES;RESTAURANTES
PIX QRS ROBERTA MUL;TRANSFERÊNCIA BANCÁRIA
MICROSOFT;LAZER E ENTRETENIMENTO
- PAY - BOURBON WAL 31 / 12;COMPRAS DIVERSAS
- PANIFICADORA ILIA CT;MERCADO
GYMPASSBR GYMPASS;SAÚDE
MICROSOFT*SUBSCRIPTION;LAZER E ENTRETENIMENTO
SEM PARAR * ABASTECE;TRANSPORTE
PAY -PAG*CARMELA-28/09;RESTAURANTES
TRANSPO COLET CT -. E NSP;TRANSPORTE
PAY -SACOLAO POP-26/09;MERCADO
UNICLASS INT VS;PAGAMENTO CARTÃO
REMUNERAÇÃO SALÁRIO POUPANÇA;POUPANÇA E INVESTIMENTOS
IFOOD IFDZORA FAST;RESTAURANTES
